Provider Number,Hospital Name,Address 1,City
390145,EXCELA HEALTH WESTMORELAND REGIONAL HOSPITAL,532 WEST PITTSBURGH STREET,GREENSBURG
390146,WARREN GENERAL HOSPITAL,TWO CRESCENT PARK WEST,WARREN
390147,MONONGAHELA VALLEY HOSPITAL,1163 COUNTRY CLUB ROAD,MONONGAHELA
390150,SOUTHWEST REGIONAL MEDICAL CENTER,350 BONAR AVENUE,WAYNESBURG
390151,CHAMBERSBURG HOSPITAL,112 NORTH SEVENTH STREET,CHAMBERSBURG
390153,MAIN LINE HOSPITAL PAOLI,255 WEST LANCASTER AVENUE,PAOLI
390154,ELK REGIONAL HEALTH CENTER,763 JOHNSONBURG ROAD,SAINT MARYS
390156,MERCY FITZGERALD HOSPITAL,LANSDOWNE & BAILY RDS,DARBY
390157,OHIO VALLEY GENERAL HOSPITAL,25 HECKEL ROAD,MCKEES ROCKS
390160,CANONSBURG GENERAL HOSPITAL,100 MEDICAL BOULEVARD,CANONSBURG
390162,EASTON HOSPITAL,250 SOUTH 21ST STREET,EASTON
390163,ACMH HOSPITAL,ONE NOLTE DRIVE,KITTANNING
390164,UPMC PRESBYTERIAN SHADYSIDE,200 LOTHROP STREET,PITTSBURGH
390168,BUTLER MEMORIAL HOSPITAL,ONE HOSPITAL WAY,BUTLER
390173,INDIANA REGIONAL MEDICAL CENTER,"835 HOSPITAL ROAD,  PO BOX 788",INDIANA
390174,THOMAS JEFFERSON UNIVERSITY HOSPITAL,111 SOUTH 11TH STREET,PHILADELPHIA
390178,UPMC HORIZON,110 NORTH MAIN STREET,GREENVILLE
390179,CHESTER COUNTY HOSPITAL,701 EAST MARSHALL ST,WEST CHESTER
390180,CROZER CHESTER MEDICAL CENTER,ONE MEDICAL CENTER BOULEVARD,UPLAND
390183,ST LUKE'S MINERS MEMORIAL HOSPITAL,360 W RUDDLE STREET,COALDALE
390184,HIGHLANDS HOSPITAL,401 EAST MURPHY AVENUE,CONNELLSVILLE
390185,HAZLETON GENERAL HOSPITAL,700 EAST BROAD STREET,HAZLETON
390189,SHAMOKIN AREA COMMUNITY HOSPITAL,4200 HOSPITAL ROAD,COAL TOWNSHIP
390192,TYLER MEMORIAL HOSPITAL,880 STATE ROUTE 6 WEST,TUNKHANNOCK
390194,GNADEN HUETTEN MEMORIAL HOSPITAL,211 NORTH 12TH STREET,LEHIGHTON
390195,MAIN LINE HOSPITAL LANKENAU,100 LANCASTER AVE,WYNNEWOOD
390197,SACRED HEART HOSPITAL,421 CHEW STREET,ALLENTOWN
390198,MILLCREEK COMMUNITY HOSPITAL,5515 PEACH STREET,ERIE
390199,PUNXSUTAWNEY AREA HOSPITAL,81 HILLCREST DRIVE,PUNXSUTAWNEY
390201,POCONO MEDICAL CENTER,206 EAST BROWN STREET,EAST STROUDSBURG
390203,DOYLESTOWN HOSPITAL,595 WEST STATE ST,DOYLESTOWN
390204,NAZARETH HOSPITAL,2601 HOLME AVE,PHILADELPHIA
390211,SHARON REGIONAL HEALTH SYSTEM,740 EAST STATE STREET,SHARON
390217,EXCELA HEALTH FRICK HOSPITAL,508 SOUTH CHURCH STREET,MOUNT PLEASANT
390219,EXCELA HEALTH LATROBE HOSPITAL,ONE MELLON WAY,LATROBE
390220,JENNERSVILLE REGIONAL HOSPITAL,1015 WEST BALTIMORE PIKE,WEST GROVE
390222,RIDDLE MEMORIAL HOSPITAL,1068 WEST BALTIMORE PIKE,MEDIA
390223,PENN PRESBYTERIAN MEDICAL CENTER,51 NORTH 39TH STREET,PHILADELPHIA
390225,EPHRATA COMMUNITY HOSPITAL,169 MARTIN AVENUE,EPHRATA
390226,PENNSYLVANIA HOSP OF THE UNIV OF PA HEALTH SYS,800 SPRUCE STREET,PHILADELPHIA
390228,ST CLAIR MEMORIAL HOSPITAL,1000 BOWER HILL ROAD,PITTSBURGH
390231,ABINGTON MEMORIAL HOSPITAL,1200 OLD YORK ROAD,ABINGTON
390233,HANOVER HOSPITAL,300 HIGHLAND AVE,HANOVER
390236,"MEMORIAL HOSPITAL, INC  TOWANDA",91 HOSPITAL DRIVE,TOWANDA
390237,REGIONAL HOSPITAL OF SCRANTON,746 JEFFERSON AVENUE,SCRANTON
390256,MILTON S HERSHEY MEDICAL CENTER,500 UNIVERSITY DRIVE,HERSHEY
390258,ST MARY MEDICAL CENTER,LANGHORNE-NEWTOWN RD,LANGHORNE
390263,LEHIGH VALLEY HOSPITAL - MUHLENBERG,2545 SCHOENERSVILLE ROAD,BETHLEHEM
390265,JEFFERSON REGIONAL MEDICAL CENTER,565 COAL VALLEY RD,PITTSBURGH
390266,GROVE CITY MEDICAL CENTER,631 NORTH BROAD STREET EXT.,GROVE CITY
390267,WESTERN PENNSYLVANIA HOSP FORBES REGIONAL CAMPUS,2570 HAYMAKER RD,MONROEVILLE
390268,MOUNT NITTANY MEDICAL CENTER,1800 EAST PARK AVE,STATE COLLEGE
390270,GEISINGER WYOMING VALLEY MEDICAL CENTER,100O EAST MOUNTAIN BOULEVARD,WILKES BARRE
390272,VALLEY FORGE MEDICAL CENTER AND HOSPITAL,1033 W GERMANTOWN PIKE,NORRISTOWN
390278,EAGLEVILLE HOSPITAL,100 EAGLEVILLE RD,EAGLEVILLE
390290,HAHNEMANN UNIVERSITY HOSPITAL,230 NORTH BROAD STREET,PHILADELPHIA
390304,ROXBOROUGH MEMORIAL HOSPITAL,5800 RIDGE AVE,PHILADELPHIA
390307,EDGEWOOD SURGICAL HOSPITAL,239 EDGEWOOD DRIVE EXTENSION,TRANSFER
390312,CANCER TREATMENT CENTERS OF AMERICA,1331 EAST WYOMING AVENUE,PHILADELPHIA
390313,SAINT CATHERINE MEDICAL CENTER FOUNTAIN SPRINGS,101 BROAD STREET,ASHLAND
390314,COORDINATED HEALTH ORTHOPEDIC HOSPITAL,2310 HIGHLAND AVENUE,BETHLEHEM
390316,SURGICAL INSTITUTE OF READING,2752 CENTURY BOULEVARD,WYOMISSING
390318,WESTFIELD HOSPITAL,4815 TILGHMAN STREET,ALLENTOWN
390321,SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,1503 CEDAR CREST BOULEVARD,ALLENTOWN
390322,BUCKS COUNTY SPECIALTY HOSPITAL,3300 TILLMAN DRIVE,BENSALEM
390323,ADVANCED SURGICAL HOSPITAL,100 TRICH DRIVE,WASHINGTON
390324,PHYSICIAN'S CARE SURGICAL HOSPITAL,454 ENTERPRISE DRIVE,ROYERSFORD
390325,OSS ORTHOPAEDIC HOSPITAL,1861 POWDER MILL RD,YORK
390326,ST LUKE'S HOSPITAL - ANDERSON CAMPUS,1872 RIVERSIDE CIRCLE,EASTON
391300,JERSEY SHORE HOSPITAL,1020 THOMPSON STREET,JERSEY SHORE
391301,MUNCY VALLEY HOSPITAL,215 EAST WATER STREET,MUNCY
391302,MEYERSDALE COMMUNITY HOSPITAL,200 HOSPITAL DRIVE,MYERSDALE
391303,FULTON COUNTY MEDICAL CENTER,214 PEACH ORCHARD ROAD,MCCONNELLSBURG
391304,BUCKTAIL MEDICAL CENTER,1001 PINE STREET,RENOVO
391305,TROY COMMUNITY HOSPITAL,10O JOHN STREET,TROY
391306,ENDLESS MOUNTAINS HEALTH SYSTEMS,25 GROW AVENUE,MONTROSE
391307,TYRONE HOSPITAL,187 HOSPITAL DRIVE,TYRONE
391308,CORRY MEMORIAL HOSPITAL,612 WEST SMITH STREET,CORRY
391309,BARNES-KASSON COUNTY HOSPITAL,2872 TURNPIKE STREET,SUSQUEHANNA
391311,MID-VALLEY HOSPITAL,1400 MAIN STREET,PECKVILLE
391312,BROOKVILLE HOSPITAL,100 HOSPITAL ROAD,BROOKVILLE
391313,CHARLES COLE MEMORIAL HOSPITAL,1001 EAST SECOND STREET,COUDERSPORT
393302,CHILDREN'S HOSPITAL OF PITTSBURGH OF UPMC,4401 PENN AVENUE,PITTSBURGH
393303,CHILDREN'S HOSPITAL OF PHILADELPHIA,34TH ST & CIVIC CENTER BLVD,PHILADELPHIA
400001,ASHFORD PRESBYTERIAN COMMUNITY HOSP,1451 ASHFORD AVENUE,SAN JUAN
400003,HOSPITAL METROPOLITANO DR PILA,2435 LAS AMERICAS AVE,PONCE
400004,"ASOCIACION HOSPITAL DEL MAESTRO, INC",SERGIO CUEVAS BUSTAMANTE STREET 550,SAN JUAN
400005,HIMA SAN PABLO HUMACAO,CALLE FONT MARTELO #3,HUMACAO
400006,DOCTORS' CENTER HOSPITAL SAN JUAN,PDA. 20 C/ SAN RAFAEL # 1395,FERNANDEZ JUNCOS
400007,RYDER MEMORIAL HOSPITAL INC,355 AVE FONT MARTELO,HUMACAO
400009,SANTA ROSA CLINIC,AVE. LOS VETERANOS #3,GUAYAMA
400010,CASTANER GENERAL HOSPITAL,ST 135 KM 64 2,CASTANER
400011,HOSPITAL ORIENTE,300 FONT MARTELLO STREET,HUMACAO
400012,DR I GONZALEZ MARTINEZ ONCOLOGY HOSP,BO. MONACILLOS CENTRO MEDICO,SAN JUAN
400013,HOSPITAL MENONITA DE CAYEY,BO. RINCON SECTOR LAS LOMAS  KM.3.1 CARR 14,CAYEY
400014,BELLA VISTA HOSPITAL,CARR 349 KM 2 7 CERRO LAS MESAS,MAYAGUEZ
400015,SAN JUAN MUNICIPAL HOSPITAL,"BARRIO MONACILLOS,CENTRO MEDICO",RIO PIEDRAS
400016,AUXILIO MUTUO HOSPITAL,PONCE DE LEON AVENUE STOP 36 1/2 #735,HATO REY
400018,MENNONITE GENERAL HOSPITAL INC,CALLE JOSE C VASQUEZ BO. CAONILLAS,AIBONITO
400019,HOSPITAL PAVIA SANTURCE,CALLE PROFESOR AUGUSTO RODRIGUEZ #1462,FERNANDEZ JUNCOS
400021,HOSPITAL DE LA CONCEPCION,ROAD NUMBER 2 KM 173.4,SAN GERMAN
400022,HOSPITAL DAMAS INC,PONCE BY PASS #2213,PONCE
400024,CLINICA ESPANOLA INC,SECTOR LA QUINTA BO BALBOA,MAYAGUEZ
400026,LAFAYETTE HOSPITAL,CARR.753 KM.0.1-SECTOR CUATRO CALLES,ARROYO
400032,HOSPITAL HERMANOS MELENDEZ INC,CARRETERA #2 KM 11 7,BAYAMON
40003F,SAN JUAN VA MEDICAL CENTER,10 CALLE CASIA,SAN JUAN                      
400044,SAN LUKE'S MEMORIAL HOSPITAL INC,TITO CASTRO AVE #917,PONCE
400048,HOSPITAL EPISCOPAL SAN LUCAS GUAYAMA INC,AVE. PEDRO ALBIZU CAMPOS URB. LA HACIENDA,GUAYAMA
400061,UNIVERSITY DISTRICT HOSPITAL,BARRIO MONACILLOS CENTROMEDICO,RIO PIEDRAS
400079,HOSP COMUNITARIO BUEN SAMARITANO,CARR.2 KM.1.4 AVE. SEVERIANO CUEVAS #18,AGUADILLA
400087,HOSPITAL DR CAYETANO COLL Y TOSTE,CARRETERA 129 KM.1 AVENIDA SAN LUIS,ARECIBO
400098,HOSPITAL SAN FRANCISCO,371 DE DIEGO AVE,SAN JUAN
400102,DOCTORS CENTER HOSPITAL BAYAMON,9 J STREET EXT HERMANAS DAVILA,BAYAMON
400103,SISTEMA INTEGRADOS DE SALUD DEL SUR OESTE INC,AVE HOSTOS 410,MAYAGUEZ
400104,HOSPITAL SAN JUAN BAUTISTA MEDICAL CENTER,CARR 172 URB TURABO GARDENS,CAGUAS
400105,HOSPITAL UNIVERSITARIO DR RUIZ ARNAU,LAUREL AVE SANTA JUANITA #100,BAYAMON
400106,METROPOLITAN HOSPITAL,CARRETERA 21 1785 URB LAS LOMAS,SAN JUAN
400109,HOSPITAL HIMA-SAN PABLO BAYAMON,CALLE SANTA CRUZ NUMERO 70  URB SANTA CRUZ,BAYAMON
400110,HOSPITAL METROPOLITANO DR TITO MATTEI,ROAD 128 KM 1.0,YAUCO
400111,HOSPITAL SAN CARLOS BORROMEO, CALLE CONCEPCION VERA AYALA #550 S,MOCA
400112,"HOSPITAL UPR, DR  FEDERICO TRILLA",CARR 3 KM 8  3 AVE 65TH INFANTERIA       BOX 6021,CAROLINA
400113,HOSPITAL SAN CRISTOBAL,CARR 506 KM 1 0,COTO LAUREL
400114,MANATI MEDICAL CENTER DR OTERO LOPEZ,CALLE HERNANDEZ CARRION URB ATENAS,MANATI
400115,CENTRO MEDICO WILMA N VAZQUEZ,CARR. 2 KM 39.5    ROAD NUMBER 2 BO ALGARROBO,VEGA BAJA
400117,HOSPITAL DR SUSONI INC,55 PALM ST,ARECIBO
400118,"DOCTORS' CENTER HOSPITAL, INC","MARGINAL CARRETERA NO 2, KM 47 7",MANATI
400120,HIMA SAN PABLO-CAGUAS,AVE LUIS MUNOZ MARIN,CAGUAS
400121,HOSPITAL SAN GERARDO,ROAD NO 844 KM 0 5 PO CUPEY BAJO,RIO PIEDRAS
400123,HOSPITAL PEREA,15 DR BASORA STREET,MAYAGUEZ
400124,CENTRO CARDIOVASCULAR,"AVENIDA AMERICO MIRANDA, ENTRADA PRINCIPAL CM",RIO PIEDRAS
400125,HIMA-SAN PABLO FAJARDO,GENERAL VALERO AVE#404,FAJARDO
400126,HOSPITAL METROPOLITANO SAN GERMAN,CALLE JAVILLA  #8 AL COSTADO PARQUE DE BOMBAS,SAN GERMAN
400127,ADMIN DE SERVICIOS MEDICOS  PUERTO RIC,BO MONACILLO CARR NUM 22,SAN JUAN
400128,"HOSPITAL PAVIA HATO REY, INC",AVE PONCE DE LEON 435,HATO REY
400130,HOSPITAL METROPOLITANO DE LA MONTANA,CALLE ISAAC GONZALEZ ESQUINA LEDESMA,BDA NUEVA
410001,MEMORIAL HOSPITAL OF RHODE ISLAND,111 BREWSTER STREET,PAWTUCKET
410004,ROGER WILLIAMS MEDICAL CENTER,825 CHALKSTONE AVENUE,PROVIDENCE
410005,ST JOSEPH HEALTH SERVICES OF RI,200 HIGH SERVICE AVENUE,NORTH PROVIDENCE
410006,NEWPORT HOSPITAL,FRIENDSHIP STREET,NEWPORT
410007,RHODE ISLAND HOSPITAL,593 EDDY STREET,PROVIDENCE
410008,SOUTH COUNTY HOSPITAL INC,100 KENYON AVE,WAKEFIELD
410009,KENT COUNTY MEMORIAL HOSPITAL,455 TOLL GATE RD,WARWICK
410010,WOMEN AND INFANTS HOSPITAL OF RHODE ISLAND,101 DUDLEY STREET,PROVIDENCE
410011,"LANDMARK MEDICAL CENTER,  INC",115 CASS AVE,WOONSOCKET
410012,MIRIAM HOSPITAL,164 SUMMIT AVENUE,PROVIDENCE
410013,WESTERLY HOSPITAL,25 WELLS STREET,WESTERLY
41005F,PROVIDENCE VA MEDICAL CENTER,830 CHALKSTONE AVENUE,PROVIDENCE                    
420002,PIEDMONT MEDICAL CENTER,222 S HERLONG AVE,ROCK HILL
420004,MUSC MEDICAL CENTER,169 ASHLEY AVE,CHARLESTON
420005,MCLEOD MEDICAL CENTER - DILLON,301 E JACKSON ST,DILLON
420007,SPARTANBURG REGIONAL MEDICAL CENTER,101 E WOOD ST,SPARTANBURG
420009,OCONEE MEDICAL CENTER,298 MEMORIAL DRIVE,SENECA
420010,CAROLINA PINES REGIONAL MEDICAL CENTER,1304 W BOBO NEWSOM HWY,HARTSVILLE
420011,CANNON MEMORIAL HOSPITAL,123 MEDICAL PARK DRIVE PO BOX 188,PICKENS
420015,BAPTIST EASLEY HOSPITAL,200 FLEETWOOD DRIVE,EASLEY
420016,BARNWELL COUNTY HOSPITAL,PO BOX 588  811  REYNOLDS ROAD,BARNWELL
420018,PALMETTO HEALTH RICHLAND,5 RICHLAND MEDICAL PARK,COLUMBIA
420019,CHESTER REGIONAL MEDICAL CENTER,1 MEDICAL PARK DRIVE,CHESTER
420020,GEORGETOWN MEMORIAL HOSPITAL,606 BLACK RIVER RD DRAWER 1718,GEORGETOWN
420023,ST FRANCIS-DOWNTOWN,ONE ST FRANCIS DR,GREENVILLE
420026,SISTERS OF CHARITY PROVIDENCE HOSPITALS,2435 FOREST DR,COLUMBIA
420027,ANMED HEALTH,800 N FANT ST,ANDERSON
420030,COLLETON MEDICAL CENTER,501 ROBERTSON BOULEVARD,WALTERBORO
420033,GREER MEMORIAL HOSPITAL,830 SOUTH BUNCOMBE ROAD,GREER
420036,SPRINGS MEMORIAL HOSPITAL,800 W MEETING ST,LANCASTER
420037,HILLCREST MEMORIAL HOSPITAL,729 SOUTH EAST MAIN STREET,SIMPSONVILLE
420038,LAURENS COUNTY HEALTHCARE SYSTEM,US HWY 76 PO DRAWER 976,CLINTON
420039,WALLACE THOMSON HOSPITAL,322 W SOUTH ST PO BOX 789,UNION
420043,UPSTATE CAROLINA MEDICAL CENTER,1530 N LIMESTONE ST,GAFFNEY
420048,KERSHAW HEALTH,"HAILE AND ROBERTS STREETS, BOX 7003",CAMDEN
420049,CONWAY MEDICAL CENTER,300 SINGLETON RIDGE ROAD,CONWAY
420051,MCLEOD REGIONAL MEDICAL CENTER-PEE DEE,555 E CHEVES ST BOX 8700,FLORENCE
420053,NEWBERRY COUNTY MEMORIAL HOSPITAL,2669 KINARD ST PO BOX 497,NEWBERRY
420054,MARLBORO PARK HOSPITAL,1138 CHERAW HIGHWAY,BENNETTSVILLE
420055,MARION REGIONAL HOSPITAL,2829 E HWY 76,MULLINS
420056,BAMBERG COUNTY MEMORIAL HOSPITAL,509 NORTH STREET,BAMBERG
420057,MCLEOD MEDICAL CENTER - DARLINGTON,701 CASHUA FERRY ROAD,DARLINGTON
420062,CHESTERFIELD GENERAL HOSPITAL,711 CHESTERFIELD HIGHWAY,CHERAW
420064,LORIS COMMUNITY HOSPITAL,3655 MITCHELL ST,LORIS
420065,BON SECOURS-ST FRANCIS XAVIER HOSPITAL,2095 HENRY TECKLENBURG DRIVE,CHARLESTON
420066,LAKE CITY COMMUNITY HOSPITAL,258 N RON MCNAIR BLVD,LAKE CITY
420067,BEAUFORT COUNTY MEMORIAL HOSPITAL,955 RIBAUT RD,BEAUFORT
420068,TRMC OF ORANGEBURG & CALHOUN,3000 ST MATTHEWS RD BOX 1806,ORANGEBURG
420069,CLARENDON MEMORIAL HOSPITAL,10 HOSPITAL ST BOX 550,MANNING
420070,TUOMEY HEALTHCARE SYSTEM,129 N WASHINGTON ST,SUMTER
420071,SELF REGIONAL HEALTHCARE,1325 SPRING STREET,GREENWOOD
420072,HAMPTON REGIONAL MEDICAL CENTER,595 WEST CAROLINA AVENUE,VARNVILLE
420073,LEXINGTON MEDICAL CENTER,2720 SUNSET BLVD,WEST COLUMBIA
420078,GREENVILLE MEMORIAL HOSPITAL,701 GROVE RD,GREENVILLE
420079,TRIDENT MEDICAL CENTER,9330 MEDICAL PLAZA DR,CHARLESTON
420080,HILTON HEAD REGIONAL MEDICAL CENTER,25 HOSPITAL CENTER BLVD,HILTON HEAD ISLAND
420082,AIKEN REGIONAL MEDICAL CENTER,302 UNIVERSITY PARKWAY,AIKEN
420083,MARY BLACK MEMORIAL HOSPITAL,1700 SKYLYN DR BOX 3217,SPARTANBURG
420085,GRAND STRAND REG MED CENTER,809 82ND PARKWAY BOX 7500,MYRTLE BEACH
420086,PALMETTO HEALTH BAPTIST,TAYLOR AT MARION,COLUMBIA
420087,ROPER HOSPITAL,316 CALHOUN ST,CHARLESTON
420089,EAST COOPER MEDICAL CENTER,2000 HOSPITAL DR,MOUNT PLEASANT
420091,CAROLINAS HOSPITAL SYSTEM,805 PAMPLICO HWY BOX 100550,FLORENCE
420098,WACCAMAW COMMUNITY HOSPITAL,4070 HIGHWAY 17 BYPASS,MURRELLS INLET
420101,COASTAL CAROLINA HOSPITAL,1000 MEDICAL CENTER DRIVE,HARDEEVILLE
420102,PATEWOOD MEMORIAL HOSPITAL,175 PATEWOOD DRIVE,GREENVILLE
420103,VILLAGE HOSPITAL,250 WESTMORELAND ROAD,GREER
420104,MOUNT PLEASANT HOSPITAL,3500 HIGHWAY 17 NORTH,MOUNT PLEASANT
42011F,COLUMBIA SC VA MEDICAL CENTER,6439 GARNERS FERRY ROAD,COLUMBIA                      
42029F,CHARLESTON VA MEDICAL CENTER,109 BEE STREET,CHARLESTON                    
421300,ALLENDALE COUNTY HOSPITAL,1787 ALLENDALE FAIRFAX RD PO BOX 218,FAIRFAX
421301,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIRCLE,ABBEVILLE
421302,FAIRFIELD MEMORIAL HOSPITAL,321 BYPASS PO BOX 620,WINNSBORO
421303,WILLIAMSBURG REGIONAL HOSPITAL,500 NELSON BOULEVARD,KINGSTREE
421304,EDGEFIELD COUNTY HOSPITAL,300 RIDGE MEDICAL PLAZA PO BOX 590,EDGEFIELD
430005,PRAIRIE LAKES HOSPITAL,401 9TH AVENUE NW  PO BOX 1210,WATERTOWN
430008,BROOKINGS HOSPITAL,300 22ND AVE,BROOKINGS
430012,AVERA SACRED HEART HOSPITAL,501 SUMMIT,YANKTON
430013,AVERA QUEEN OF PEACE,525 N FOSTER,MITCHELL
430014,AVERA ST LUKES,305 S STATE ST,ABERDEEN
430015,ST MARYS HOSPITAL,801 E SIOUX,PIERRE
430016,AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,1325 S CLIFF AVE  PO BOX 5045,SIOUX FALLS
430027,SANFORD USD MEDICAL CENTER,1305 W 18TH ST  PO BOX 5039,SIOUX FALLS
43002F,VA BLACK HILLS HEALTHCARE SYSTEM - FORT MEADE,113 COMANCHE ROAD,FORT MEADE                    
430048,SPEARFISH REGIONAL HOSPITAL,1440 N MAIN ST,SPEARFISH
43005F,SIOUX FALLS VA MEDICAL CENTER,2501 WEST 22ND STREET,SIOUX FALLS                   
430077,RAPID CITY REGIONAL HOSPITAL,353 FAIRMONT BLVD  PO BOX 6000,RAPID CITY
430081,PHS INDIAN HOSPITAL AT PINE RIDGE,EAST HIGHWAY 18,PINE RIDGE
430082,PHS INDIAN HOSPITAL AT RAPID CITY - SIOUX SAN,3200 CANYON LAKE DR,RAPID CITY
430083,PHS INDIAN HOSPITAL AT EAGLE BUTTE,317 MAIN STREET,EAGLE BUTTE
430084,PHS INDIAN HOSPITAL AT ROSEBUD,400 SOLDIER CREEK ROAD,ROSEBUD
430089,SIOUXLAND SURGERY CENTER LP,600 SIOUX POINT ROAD,DAKOTA DUNES
430090,SIOUX FALLS SPECIALTY HOSPITAL,910 EAST 20TH STREET,SIOUX FALLS
430091,BLACK HILLS SURGICAL HOSPITAL LLP,216 ANAMARIA DR,RAPID CITY
430092,DAKOTA PLAINS SURGICAL CENTER LLP,701 8TH AVENUE NW SUITE C,ABERDEEN
430093,SAME DAY SURGERY CENTER LLC,651 CATHEDRAL DRIVE,RAPID CITY
430094,SPEARFISH REGIONAL SURGERY CENTER,1316 10TH ST,SPEARFISH
430095,AVERA HEART HOSPITAL OF SOUTH DAKOTA LLC,4500 W 69TH ST,SIOUX FALLS
430096,LEWIS AND CLARK SPECIALTY HOSPITAL,2601 FOX RUN PARKWAY,YANKTON
431300,MADISON COMMUNITY HOSPITAL - CRITICAL ACCESS HOSP,917 N WASHINGTON AVE,MADISON
431306,PLATTE HEALTH CENTER - CRITICAL ACCESS HOSPITAL,601 E 7TH ST  PO BOX 200,PLATTE
431310,AVERA FLANDREAU HOSPITAL - CAH,214 NORTH PRAIRIE AVENUE,FLANDREAU
431311,SANFORD HOSPITAL WEBSTER - CAH,1401 W FIRST ST PO BOX 489,WEBSTER
431315,WAGNER COMMUNITY MEMORIAL HOSPITAL - CAH,"513 3RD ST SW, PO BOX 280",WAGNER
431316,COMMUNITY MEMORIAL HOSPITAL - CRITICAL ACCESS HOSP,111 W 10TH AVE  PO BOX 420,REDFIELD
431317,LANDMANN-JUNGMAN MEMORIAL HOSPITAL - CAH,600 BILLARS ST,SCOTLAND
431318,BOWDLE HOSPITAL - CRITICAL ACCESS HOSPITAL,8001 W 5TH  PO BOX 556,BOWDLE                        
431320,LEAD - DEADWOOD REGIONAL HOSPITAL - CAH,61 CHARLES STREET,DEADWOOD
431321,STURGIS REGIONAL HOSPITAL,949 HARMON STREET,STURGIS
431322,FALL RIVER HOSPITAL - CRITICAL ACCESS HOSPITAL,1201 HIGHWAY 71 SOUTH,HOT SPRINGS
431323,CUSTER REGIONAL HOSPITAL - CRITICAL ACCESS HOSP,1039 MONTGOMERY STREET,CUSTER
431324,AVERA WESKOTA MEMORIAL MEDICAL CENTER - CAH,604 1ST ST NE,WESSINGTON SPRINGS
431325,MOBRIDGE REGIONAL HOSPITAL - CRITICAL ACCESS HOSP,1401 10TH AVE WEST,MOBRIDGE
431326,MILBANK AREA HOSPITAL/AVERA HEALTH - CAH,901 E VIRGIL AVE,MILBANK
431327,ST MICHAEL'S HOSPITAL - CRITICAL ACCESS HOSPITAL,410 W 16TH AVE  PO BOX 27,TYNDALL
431329,SANFORD CHAMBERLAIN MEDICAL CENTER,300 S BYRON,CHAMBERLAIN
431330,AVERA ST BENEDICT HEALTH CENTER - CAH,401 WEST GLYNN DRIVE,PARKSTON
431331,AVERA DELLS AREA HOSPITAL  - CAH,909 N IOWA AVE,DELL RAPIDS
431332,AVERA DESMET MEMORIAL HOSPITAL - CAH,"306 PRAIRIE AVENUE SW, PO BOX 160",DE SMET
431334,WINNER REGIONAL HEALTHCARE CENTER - CAH,745 EAST 8TH STREET,WINNER
431335,HURON REGIONAL MEDICAL CENTER,172 FOURTH STREET SE,HURON
431336,SANFORD VERMILLION HOSPITAL,20 SOUTH PLUM STREET,VERMILLION
431337,AVERA HAND COUNTY MEMORIAL HOSPITAL AND CLINIC,300 W 5TH ST,MILLER
431338,AVERA GREGORY HOSPITAL,400 PARK STREET  PO BOX 408,GREGORY
440001,UNICOI COUNTY MEMORIAL HOSPITAL,GREENWAY CIRCLE,ERWIN
440002,JACKSON-MADISON COUNTY GENERAL HOSPITAL,620 SKYLINE DRIVE,JACKSON
440003,SUMNER REGIONAL MEDICAL CENTER,555 HARTSVILLE PIKE,GALLATIN
440006,SKYLINE MEDICAL CENTER,3441 DICKERSON PIKE,NASHVILLE
440007,UNITED REGIONAL MEDICAL CENTER,1001 MCARTHUR ST,MANCHESTER
440008,HENDERSON COUNTY COMMUNITY HOSPITAL,200 W CHURCH ST,LEXINGTON
440009,CUMBERLAND MEDICAL CENTER,421 S MAIN ST,CROSSVILLE
440010,WAYNE MEDICAL CENTER,103 J V MANGUBAT DR,WAYNESBORO
440011,BLOUNT MEMORIAL HOSPITAL,907 E LAMAR ALEXANDER PARKWAY,MARYVILLE
440012,WELLMONT BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL
440015,UNIVERSITY OF TN MEMORIAL HOSPITAL,1924 ALCOA HIGHWAY,KNOXVILLE
440016,BAPTIST MEMORIAL HOSPITAL HUNTINGDON,631 RB WILSON DR,HUNTINGDON
440017,WELLMONT HOLSTON VALLEY MEDICAL CENTER,130 WEST RAVINE ROAD,KINGSPORT
440018,SYCAMORE SHOALS HOSPITAL,1501 WEST ELK AVENUE,ELIZABETHTON
440020,HILLSIDE HOSPITAL,1265 E COLLEGE ST,PULASKI
440025,"LAUGHLIN MEMORIAL HOSPITAL, INC",1420 TUSCULUM BLVD,GREENEVILLE
440029,WILLIAMSON MEDICAL CENTER,4321 CAROTHERS PARKWAY,FRANKLIN
440030,MORRISTOWN HAMBLEN HOSPITAL ASSOCIATION,908 W 4TH NORTH ST,MORRISTOWN
440031,ROANE MEDICAL CENTER,412 DEVONIA ST,HARRIMAN
440032,WELLMONT HAWKINS COUNTY MEMORIAL HOSPITAL,851 LOCUST STREET,ROGERSVILLE
440033,TENNOVA HEALTHCARE-LAFOLLETT MEDICAL CENTER,923 EAST CENTRAL AVENUE,LA FOLLETTE
440034,METHODIST MEDICAL CENTER OF OAK RIDGE,990 OAK RIDGE TURNPIKE BOX 529,OAK RIDGE
440035,GATEWAY MEDICAL CENTER,651 DUNLOP LANE,CLARKSVILLE
